125,161,198
134,166,196
133,163,196
130,154,179
136,161,186
129,155,181
132,160,189
132,162,193
139,168,198
136,163,189
135,162,187
132,159,186
118,145,175
144,172,204
141,169,203
127,151,175
129,152,176
135,159,183
130,152,176
99,136,163
99,137,163
99,137,163
132,160,187
137,164,189
132,156,178
137,162,185
139,166,189
129,156,179
128,157,182
129,156,179
132,159,183
134,160,183
130,154,176
134,160,181
131,157,178
135,159,181
140,164,188
137,162,185
129,153,173
132,157,178
137,165,191
133,158,180
150,199,240
152,201,239
126,151,178
124,150,179
125,150,177
134,161,189
125,149,173
125,152,178
109,136,163
136,162,185
145,175,201
106,131,159
137,161,185
146,173,196
141,166,192
132,165,197
112,147,180
112,139,167
144,186,212
151,197,221
116,144,173
78,100,124
132,170,205
128,165,203
140,178,213
147,184,217
145,178,207
132,159,188
113,132,156
104,120,140
112,124,145
110,121,141
107,118,138
50,73,114
50,73,114
50,73,115
50,72,113
60,88,123
64,93,129
55,80,114
44,65,98
52,67,96
56,72,104
57,73,101
60,88,125
60,82,116
59,81,119
57,78,117
61,81,123
49,61,94
56,72,108
68,88,133
66,87,129
65,87,131
65,89,134
65,88,133
65,88,132
57,76,117
56,75,115
86,123,174
84,120,170
86,122,173
90,127,179
92,132,183
59,79,118
61,75,111
52,64,98
89,131,182
90,133,186
88,129,182
86,124,186
54,73,110
62,83,134
27,33,45
26,33,47
21,24,32
16,18,24
43,58,79
61,78,105
36,45,71
36,45,71
38,48,77
65,82,109
69,89,117
69,88,119
72,86,120
80,99,136
76,98,136
49,55,72
49,54,71
50,55,71
49,54,71
53,59,75
46,57,77
46,57,77
46,56,76
50,58,80
53,61,84
52,59,81
58,69,93
63,74,100
60,71,96
59,71,97
58,70,96
60,71,96
42,51,73
46,56,80
63,74,97
59,67,90
57,64,85
57,63,83
57,62,81
56,67,94
54,65,91
51,61,86
51,61,85
53,63,90
57,69,95
38,42,65
63,71,91
38,39,55
38,39,55
39,39,52
39,40,53
26,21,29
31,26,37
28,23,32
26,21,30
53,55,72
52,55,72
28,23,32
30,25,36
27,21,30
26,21,30
31,25,36
55,56,73
52,53,69
48,51,60
63,73,89
71,80,93
97,112,133
85,101,125
82,99,124
82,99,126
81,98,125
81,98,123
81,98,123
43,54,78
49,60,86
51,63,88
51,63,88
49,61,87
45,56,81
45,55,81
49,60,86
50,61,88
49,61,89
48,62,89
52,74,104
74,99,128
70,91,118
69,93,120
78,100,125
62,84,108
39,59,82
36,53,71
48,65,83
53,67,80
53,68,82
52,66,80
50,63,78
56,69,82
49,61,74
43,55,67
48,63,77
49,63,77
50,63,77
49,64,78
43,55,67
50,65,80
51,65,79
58,77,94
69,90,107
70,90,107
31,38,49
27,35,46
23,31,42
24,32,42
24,32,42
23,30,40
20,27,36
18,24,33
22,29,38
11,16,25
34,45,60
57,72,92
56,71,92
40,55,80
55,79,112
53,78,112
51,67,88
57,77,102
55,75,101
54,72,96
54,74,98
54,72,97
54,72,98
54,72,98
49,57,69
50,57,69
52,59,70
52,59,71
52,60,72
52,58,70
52,59,71
53,60,71
53,60,72
51,57,68
57,70,85
63,81,101
57,66,78
40,42,49
51,68,98
53,70,99
53,70,100
54,71,100
55,71,100
54,71,99
53,70,99
54,70,97
53,70,99
53,72,102
49,67,93
48,66,92
44,60,85
44,62,88
56,78,109
59,85,119
61,89,125
60,87,122
58,85,123
61,90,130
34,47,66
43,59,80
61,79,104
60,79,106
54,72,99
54,74,104
50,72,101
46,67,96
44,63,92
47,68,97
48,69,98
56,76,100
56,76,102
58,79,105
51,71,99
50,71,98
53,75,104
54,72,95
79,101,122
69,90,112
66,84,104
64,81,100
71,91,116
51,63,84
49,60,80
70,83,104
70,84,108
