230,210,139
231,213,144
34,17,6
35,17,7
36,18,7
227,207,133
196,172,110
180,155,99
163,139,91
151,130,88
22,10,4
28,13,5
36,17,7
53,27,8
39,19,5
38,18,5
39,19,5
41,20,6
40,19,6
34,18,5
33,17,5
31,16,5
31,16,5
33,16,4
31,16,5
47,25,9
45,24,9
45,23,8
49,25,8
30,10,3
28,17,8
35,18,4
33,17,4
31,16,4
32,16,4
41,22,9
45,24,10
29,14,4
29,15,4
34,18,5
42,22,6
59,31,11
59,31,11
59,31,11
52,26,10
45,22,8
52,26,10
51,26,10
34,17,7
34,17,7
46,23,8
52,27,10
56,29,11
34,18,5
53,28,10
51,26,10
37,19,7
