141,171,172
140,169,172
139,169,171
141,174,176
175,186,176
173,182,171
171,174,164
166,174,165
162,170,161
162,171,162
165,173,163
164,170,160
159,166,158
160,166,157
173,175,165
169,174,165
160,166,158
165,170,160
146,160,154
146,159,152
145,159,153
147,161,154
146,160,154
152,158,149
146,169,172
140,163,165
132,158,160
128,154,155
116,145,145
115,142,142
109,135,133
106,131,128
105,132,128
113,135,132
130,113,96
146,133,117
144,131,114
143,132,115
150,138,119
163,149,130
154,145,126
140,123,104
141,123,103
172,160,142
96,141,124
96,141,124
87,84,79
83,80,76
81,77,73
81,78,74
80,78,73
81,78,73
80,77,73
81,77,73
79,75,71
81,77,73
80,76,72
82,77,73
83,80,75
80,77,73
78,75,71
106,110,91
107,110,92
105,106,89
105,105,89
93,87,82
92,87,81
90,85,80
97,95,82
87,91,78
82,83,72
85,85,73
86,86,73
87,89,75
89,91,77
66,113,107
83,84,77
79,81,73
79,82,73
80,82,73
85,86,77
83,84,75
83,84,76
83,84,76
82,83,76
82,83,75
82,85,77
80,82,74
63,124,120
65,128,124
79,79,71
80,80,72
82,82,74
78,110,88
74,67,61
74,69,63
76,72,65
73,68,62
74,68,62
74,67,62
73,67,61
73,67,62
73,68,63
74,69,63
75,67,63
75,67,62
75,68,63
74,68,63
107,100,93
96,167,166
93,171,168
90,167,164
90,166,162
92,164,160
87,163,161
74,97,80
121,149,134
99,140,130
85,133,127
82,131,126
84,128,123
81,133,127
88,134,127
97,138,129
112,148,135
130,154,139
134,156,140
130,143,133
133,146,134
133,147,135
91,103,90
77,95,88
72,93,88
71,91,87
69,88,84
73,92,98
62,82,89
52,70,75
48,72,70
59,87,83
58,86,82
59,89,85
79,95,95
70,80,79
86,93,87
78,77,69
73,75,69
71,74,68
72,75,69
70,75,72
89,106,103
90,108,105
88,106,105
93,109,107
98,108,105
99,104,102
80,55,52
80,80,78
77,77,75
59,76,72
59,77,73
58,76,72
58,76,72
65,111,128
63,110,126
66,111,127
64,110,126
64,110,126
67,112,127
66,112,127
65,111,127
63,110,127
64,110,127
63,110,127
69,120,128
71,118,125
70,113,128
71,113,127
68,114,130
68,111,127
70,113,127
70,113,127
68,111,126
68,111,126
58,76,73
56,76,72
98,109,93
98,109,93
98,109,93
98,109,93
98,109,93
94,107,86
79,101,78
104,123,109
105,112,98
148,145,123
149,145,123
152,145,124
105,138,145
112,140,138
113,139,132
112,139,130
120,148,136
131,173,162
140,179,169
138,172,162
136,166,156
132,165,158
136,173,167
138,174,168
140,130,113
137,120,101
115,102,79
135,139,131
135,139,139
130,107,84
137,122,107
139,112,90
168,139,120
155,134,115
145,129,111
145,130,111
134,161,165
134,160,165
138,121,105
136,122,105
130,120,106
143,164,169
143,128,111
141,126,110
141,126,110
141,126,109
100,102,99
78,84,85
120,131,109
94,101,92
149,144,134
76,97,97
124,141,137
80,86,88
109,121,114
166,182,162
130,134,126
58,96,98
119,139,130
140,146,144
154,145,132
152,142,124
142,154,138
134,157,149
137,158,150
116,138,130
139,154,146
139,153,145
133,148,142
99,104,104
113,116,116
172,182,164
159,157,147
169,165,154
113,123,117
114,125,119
116,127,120
115,127,120
112,124,118
106,143,130
117,142,129
103,135,119
84,117,105
88,124,111
89,125,112
107,116,109
107,117,110
105,133,121
109,116,109
75,105,97
83,115,105
82,117,108
81,111,102
140,160,150
138,158,148
111,133,118
112,133,118
141,160,148
142,160,148
111,132,117
112,132,116
141,155,145
138,153,143
135,151,142
132,150,140
133,148,139
109,122,106
120,134,124
110,128,120
111,126,118
110,132,125
107,127,119
84,102,100
124,124,117
121,119,112
110,115,105
119,134,123
119,131,120
118,132,122
158,147,134
160,149,136
162,151,138
163,153,141
160,151,139
155,148,138
